Rank,Name,Birthdate,Birthplace,Height_cm,Weight_kg,Rating,Votes,Promotion
1.0,Undertaker,24.03.1965,"Houston, Texas, USA",208.0,136.0,9.4,2578.0,WWE
3.0,CM Punk,26.10.1978,"Chicago, Illinois, USA",183.0,99.0,9.26,2558.0,WWE
5.0,Jericho,09.11.1970,"Manhasset, New York, USA",180.0,103.0,9.31,2321.0,AEW
7.0,AJ Styles,02.06.1977,"Jacksonville, North Carolina, USA",180.0,99.0,9.53,2183.0,WWE
9.0,Adam Copeland,30.10.1973,"Orangeville, Ontario, Canada",193.0,108.0,9.19,1923.0,AEW
11.0,Roman Reigns,25.05.1985,"Pensacola, Florida, USA",190.0,120.0,,1766.0,WWE
13.0,The Miz,08.10.1980,"Parma, Ohio, USA",185.0,105.0,,1700.0,WWE
15.0,Claudio Castagnoli,27.12.1980,"Luzern, Schweiz",195.0,110.0,9.08,1628.0,AEW
17.0,The Rock,02.05.1972,"Hayward, California, USA",193.0,120.0,9.13,1615.0,WWE
19.0,Seth Rollins,28.05.1986,"Buffalo, Iowa, USA",185.0,98.0,,1596.0,WWE
21.0,Kurt Angle,09.12.1968,"Pittsburgh, Pennsylvania, USA",178.0,100.0,9.57,1565.0,
23.0,Brock Lesnar,12.07.1977,"Webster, South Dakota, USA",193.0,121.0,,1470.0,WWE
25.0,Christian Cage,30.11.1973,"Kitchener, Ontario, Canada",185.0,95.0,,1441.0,AEW
27.0,Will Ospreay,07.05.1993,"Rainham, Essex, England, UK",185.0,100.0,9.26,1395.0,AEW
29.0,Batista,18.01.1969,"Arlington, Virginia, USA",196.0,126.0,,1358.0,
31.0,Gunther,20.08.1987,"Wien, Österreich",193.0,114.0,9.58,1343.0,WWE
33.0,Samoa Joe,17.03.1979,"Orange County, California, USA",183.0,127.0,9.18,1329.0,AEW
35.0,Kane,26.04.1967,"Madrid, Spanien",208.0,147.0,,1288.0,WWE
37.0,Drew McIntyre,06.06.1985,"Ayr, Scotland, UK",196.0,121.0,,1216.0,WWE
39.0,Sting,20.03.1959,"Omaha, Nebraska, USA",191.0,114.0,9.2,1211.0,AEW
41.0,Sheamus,28.01.1978,"Dublin, Ireland",193.0,121.0,,1179.0,WWE
43.0,Paul Wight,08.02.1972,"Aiken, South Carolina, USA",213.0,180.0,,1160.0,AEW
45.0,Chris Benoit,21.05.1967,"Montreal, Quebec, Canada",175.0,101.0,,1154.0,
47.0,Matt Hardy,23.09.1974,"Cameron, North Carolina, USA",185.0,106.0,,1130.0,TNA
49.0,Johnny TV,03.10.1979,"Palos Verdes, California, USA",185.0,96.0,,1071.0,AEW
51.0,Bray Wyatt,23.05.1987,"Brooksville, Florida, USA",190.0,136.0,,1047.0,
53.0,Finn Balor,25.07.1981,"Bray, County Wicklow, Ireland",180.0,87.0,,1038.0,WWE
55.0,Adam Page,21.07.1991,"Aaron's Creek, Virginia, USA",182.0,97.0,9.13,1036.0,AEW
57.0,Charlotte Flair,05.04.1986,"Charlotte, North Carolina, USA",178.0,65.0,,1030.0,WWE
59.0,PAC,22.08.1986,"Newcastle upon Tyne, Tyne and Wear, England, UK",172.0,88.0,,1016.0,AEW
61.0,Mark Henry,12.06.1971,"Silsbee, Texas, USA",190.0,172.0,,996.0,WWE
63.0,Paul Heyman,11.09.1965,"Scarsdale, New York, USA",180.0,106.0,9.52,964.0,WWE
65.0,MJF,15.03.1996,"Plainview, New York, USA",180.0,93.0,,932.0,AEW
67.0,Rob Van Dam,18.12.1970,"Battle Creek, Michigan, USA",185.0,107.0,,906.0,WWE
69.0,Ricochet,11.10.1988,"Alton, Illinois, USA",175.0,85.0,,903.0,AEW
71.0,William Regal,10.05.1968,"Codsall Wood, Staffordshire, England, UK",187.0,111.0,,887.0,WWE
73.0,MVP,28.10.1973,"Miami, Florida, USA",180.0,114.0,,863.0,AEW
75.0,Nattie,27.05.1982,"Calgary, Alberta, Canada",165.0,61.0,,821.0,WWE
77.0,John Bradshaw Layfield,29.11.1966,"Athens, Texas, USA",195.0,128.0,,809.0,WWE
79.0,Tomohiro Ishii,10.12.1975,"Kawasaki, Kanagawa, Japan",170.0,100.0,9.41,807.0,NJPW
81.0,Malakai Black,19.05.1985,"Amsterdam, Niederlande",180.0,96.0,,795.0,
83.0,Roderick Strong,26.07.1983,"Eau Claire, Wisconsin, USA",178.0,91.0,,771.0,AEW
85.0,Minoru Suzuki,17.06.1968,"Yokohama, Kanagawa, Japan",178.0,102.0,9.43,768.0,
87.0,Bishop Dyer,13.09.1984,"Lenexa, Kansas, USA",198.0,129.0,,767.0,ROH
89.0,Matt Cardona,14.05.1985,"North Merrick, New York, USA",185.0,97.0,,760.0,WWE
91.0,Trish Stratus,18.12.1975,"Richmond Hill, Ontario, Canada",162.0,54.0,,756.0,WWE
93.0,Chris Hero,24.12.1979,"Dayton, Ohio, USA",193.0,122.0,9.12,753.0,AEW
95.0,Vince McMahon,24.08.1945,"Pinehurst, North Carolina, USA",187.0,110.0,,749.0,
97.0,Penta,05.02.1985,"Mexico City, Distrito Federal, Mexiko",180.0,87.0,9.1,746.0,WWE
99.0,Braun Strowman,06.09.1983,"Sherrills Ford, North Carolina, USA",203.0,155.0,,730.0,
